run_id,buffer1_duration_sec, buffer16_duration_sec
1,293.99125051498413,268.32281041145325
2,308.2107198238373,263.2741916179657
3,323.33923840522766,274.13622856140137
4,314.4124789237976,269.99796772003174
5,301.6133642196655,265.5154962539673
6,307.1745412349701,279.55376744270325
7,288.2290816307068,305.5943777561188
8,296.2202982902527,303.56773853302
9,307.05697441101074,309.83906602859497
10,328.08205342292786,302.75373816490173
11,341.12118196487427,306.43925428390503
12,337.4319393634796,306.5709102153778
13,335.6296684741974,312.71000838279724
14,338.33793330192566,316.9356393814087
15,331.6046197414398,317.721964597702
16,330.47981810569763,317.5100448131561
17,322.5940978527069,318.90894532203674
18,336.54382848739624,317.60457944869995
19,332.70326948165894,301.3703348636627
20,337.9122576713562,303.14206433296204
21,334.2312343120575,300.946364402771
22,332.5648548603058,301.91787362098694
23,334.1232705116272,304.52365708351135
24,335.33252596855164,305.2913317680359
25,336.5199272632599,309.5544991493225
26,340.69082140922546,306.49917912483215
27,340.6249792575836,318.1677579879761
28,336.0471227169037,318.83297753334045
29,337.9584505558014,312.57596802711487
30,339.192734003067,314.02959990501404
