run_id,1_duration_sec,4_duration_sec,8_duration_sec
1,182.4384570121765,100.96197032928467,99.78062224388123
2,170.01361846923828,104.00592541694641,98.55963158607483
3,174.67190265655518,110.287926197052,102.0876088142395
4,177.11550641059875,107.43434977531433,100.79883337020874
5,182.26794171333313,111.47679448127747,100.22141766548157
6,175.31506538391113,114.38233160972595,100.01709055900574
7,173.03093576431274,106.72616648674011,97.75472736358643
8,173.84974813461304,106.50874161720276,103.69382071495056
9,172.61913013458252,106.90282082557678,94.74736189842224
10,177.46361136436462,106.59719443321228,95.68901586532593
11,175.69258403778076,111.79382872581482,93.08052372932434
12,171.463764667511,106.51258707046509,91.52568745613098
13,176.752765417099,105.89595079421997,98.57437372207642
14,168.61850762367249,111.73622536659241,93.54508185386658
15,168.38304805755615,109.45290803909302,93.59308695793152
16,170.26766633987427,111.21217274665833,97.96088600158691
17,172.29558658599854,107.89681506156921,93.45099806785583
18,176.77504181861877,106.641521692276,94.68951511383057
19,178.67714166641235,107.86494755744934,94.64544796943665
20,168.92150211334229,106.92506432533264,94.11806535720825
21,183.54719591140747,111.58169364929199,97.91729688644409
22,175.14873361587524,114.20964026451111,92.23469424247742
23,176.61787796020508,107.22369027137756,92.43359470367432
24,174.64217114448547,106.35069417953491,96.62947106361389
25,168.49942231178284,112.46665740013123,92.73252987861633
26,170.8284559249878,111.7832977771759,97.31135392189026
27,173.98809337615967,108.2389018535614,93.61680912971497
28,172.43326115608215,113.14611029624939,93.03562998771667
29,171.62719678878784,106.44711422920227,92.80509400367737
30,171.64083909988403,106.4694185256958,92.91608572006226
