run_id,1_duration_sec, 4_duration_sec,8_duration_sec
1,419.4977054595947,192.84058547019958,176.6378173828125
2,453.02146792411804,194.34591388702393,182.96042466163635
3,420.9780099391937,185.74520444869995,180.07710361480713
4,453.4420738220215,184.78100681304932,187.2067677974701
5,417.6332354545593,185.56824946403503,193.4344666004181
6,421.2290153503418,194.6548614501953,187.84531021118164
7,416.98644161224365,184.22944474220276,186.12740969657898
8,410.13470101356506,186.01320576667786,187.3373897075653
9,435.98773741722107,184.68387651443481,176.15484070777893
10,406.99869418144226,184.79609489440918,183.85183596611023
11,404.93879747390747,186.90653276443481,181.96011424064636
12,406.12609243392944,192.2476043701172,183.390789270401
13,405.2499761581421,187.12505865097046,187.1866729259491
14,406.10356307029724,187.98733520507812,189.46951603889465
15,408.2156443595886,185.071937084198,194.82513189315796
16,409.2993211746216,191.3648235797882,195.7349512577057
17,402.2364559173584,186.0817801952362,188.9039990901947
18,407.3315682411194,186.74852180480957,190.6374237537384
19,407.4720935821533,186.88149094581604,187.23244762420654
20,405.55914640426636,187.57744455337524,188.89383697509766
21,405.4779350757599,193.0446434020996,183.38777542114258
22,402.8944489955902,192.77058267593384,181.9378798007965
23,404.35855412483215,184.20429062843323,179.66654920578003
24,405.210241317749,185.20721769332886,182.52904081344604
25,430.99895787239075,185.10859179496765,175.87365555763245
26,409.45246982574463,183.80300378799438,178.15646862983704
27,404.29153752326965,183.26981115341187,181.21717762947083
28,408.1590008735657,181.7229278087616,177.51626443862915
29,406.49526500701904,175.97456431388855,178.26745223999023
30,409.12577652931213,182.03694105148315,177.8940510749817
